Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ейбоженко,Станіслав,Юрійович,Чоловік,1946-07-07,Хореограф,село Євпаторія,"провулок Розкидайлівська, буд. 334, Добропілля, 77251",025 801 22 71,pryimakroksolana@example.org
Єфименко,Трохим,Андрійович,Чоловік,1953-09-19,Перекладач,хутір Курахове,"проспект Почаївська, буд. 9 кв. 2, Кам'янка (Черкаська область), 49433",+380 95 725 26 23,verkhovynetsolha@example.com
Ващенко-Захарченко,Лесь,Дмитрович,Чоловік,1976-02-11,Астроном,село Старий Крим,"узвіз Миколи Гумільова, буд. 68, Теребовля, 97999",800 55 48,volodymyr59@example.net
Фартушняк,Пармен,Андрійович,Чоловік,1978-04-05,Електротехнік,хутір Кам'янка-Бузька,"провулок Чернівецький, буд. 589, Скалат, 74306",040-71-25,gvernyhora@example.org
Кальченко,Назар,Юрійович,Чоловік,1994-03-01,Пекар,село Шепетівка,"набережна Теплична, буд. 6, Перечин, 81282",+380 99 722-43-46,prudko@example.net
Сімашкевич,Назар,Дмитрович,Чоловік,1969-11-09,Астрофізик,селище Святогірськ,"узвіз Ждахи, буд. 6, Краматорськ, 20765",+380 (86) 267-79-44,volodymyrmazepa@example.com
Петлюра,Венедикт,Григорович,Чоловік,1939-05-23,Письменник,місто Приморськ,"узвіз Патріотична, буд. 603 кв. 826, Красногорівка, 25384",+380 60 346-56-14,miroshnychenkovolodymyr@example.com
Баранець,Богодар,Степанович,Чоловік,1966-11-21,Промисловець,місто Черкаси,"проспект Акордна, буд. 39, Новгород-Сіверський, 56413",262 94 60,valentyna22@example.org
Саєнко,Петро,Богданович,Чоловік,1946-10-14,Детектив,селище Золочів,"сквер Пересипський узвіз, буд. 20 кв. 85, Старий Самбір, 30554",096 857 41 42,deriazhnaleopold@example.com
Давимука,Охрім,Олександрович,Чоловік,1944-10-26,Ветеринар,хутір Хуст,"площа 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 432 кв. 974, Ромни, 73777",+380 26 602-79-34,barabashdan@example.com
Охримович,Мирослав,Володимирович,Чоловік,1951-01-13,Педагог,хутір Перечин,"набережна Соні Делоне, буд. 924 кв. 1, Краматорськ, 37156",940-22-03,wshevchenko@example.com
Рак,Давид,Романович,Чоловік,1941-08-18,Геолог,хутір Перевальськ,"шосе Банний, буд. 1 кв. 1, Керч, 85617",097 582 03 64,pbandura@example.org
Гузь,Мирослав,Михайлович,Чоловік,1967-05-24,Мінералог,село Монастириська,"вулиця Балтський 5-й, буд. 268, Городище, 88033",672-94-26,zaporozhetsparmen@example.net
Верховинець,Леонід,Іванович,Чоловік,2003-02-17,Астронавт,місто Олевськ,"набережна Новиков міст, буд. 487 кв. 87, Очаків, 34716",+380 07 270-22-02,maryna61@example.com
Супруненко,Костянтин,Юрійович,Чоловік,1954-07-01,Патологоанатом,хутір Трускавець,"провулок Макова, буд. 2 кв. 94, Вижниця, 01357",034 250-04-82,solomiia02@example.com
Павличенко,Орест,Петрович,Чоловік,1970-12-27,Модельєр,село Чернігів,"узвіз Володимира Терещенка, буд. 650, Бунге, 64660",745-22-43,ada35@example.org
Палій,Демид,Павлович,Чоловік,1999-05-11,Модель,місто Хутір-Михайлівський,"проспект Балтський 4-й, буд. 57 кв. 917, Теребовля, 06794",+380 84 956 73 70,hviter@example.com
Михалюк,Микита,Макарович,Чоловік,2006-05-27,Прокурор,село Феодосія,"провулок Євгена Крамаренка, буд. 503, Глобине, 16482",962-68-64,opanasneporozhnii@example.org
Шинкаренко,Леопольд,Олегович,Чоловік,1979-06-11,Патологоанатом,місто Дубровиця,"сквер Лазурського, буд. 4 кв. 2, Бахмач, 58878",067-86-07,larysazaporozhets@example.org
Шинкаренко,Леопольд,Юрійович,Чоловік,1974-04-09,Фармацевт,місто Снігурівка,"площа Скляний 2-й, буд. 395, Бережани, 98495",+380 53 239-98-42,amaliiavashchenko-zakharchenko@example.com
Матяш,Андрій,Богданович,Чоловік,1964-11-29,Журналіст,селище Бершадь,"сквер Заньковецької, буд. 762 кв. 322, Херсон, 32855",+380 63 548-95-92,xskoryk@example.org
Чумаченко,Мирон,Романович,Чоловік,2005-04-15,Соціолог,селище Виноградів,"узвіз Новопланівська, буд. 798 кв. 71, Камінь-Каширський, 56042",624 47 88,orysia77@example.com
Козак,Едуард,Олександрович,Чоловік,1958-08-13,Ювелір,селище Красилів,"набережна Вапняна, буд. 17, Хуст, 37481",+380 16 327-93-38,mirvanets@example.com
Влох,Едуард,Сергійович,Чоловік,1955-07-26,Психолог,село Новомиргород,"вулиця Лінія 37-ма, буд. 25, Могилів-Подільський, 22657",+380 99 888 21 82,ivanfartushniak@example.com
Алексюк,Леопольд,Вікторович,Чоловік,1951-01-09,Кіноактор,село Федорівка,"вулиця Пересипська 4-та, буд. 199, Виноградів, 28047",+380 70 631 42 99,havrylo99@example.com
Комар,Данило,Васильович,Чоловік,2005-12-26,Ріелтор,селище Носівка,"вулиця Пішонівська, буд. 6, Надвірна, 13363",015 621-66-46,bdankevych@example.net
Москаль,Артем,Андрійович,Чоловік,2004-02-04,Антрополог,хутір Маріуполь,"проспект Заводська 5-та, буд. 77 кв. 29, Чернівці, 07000",+380 (88) 235-43-13,ielysavetaivanchenko@example.org
Андрейко,Валерій,Васильович,Чоловік,1975-05-11,Швачка,місто Рахів,"проспект Пересипська 9-та, буд. 39, Шаргород, 09429",+380 (49) 785-98-14,obashpolchenko@example.org
Юрчук,Орхип,Павлович,Чоловік,1976-09-16,Водій,селище Болград,"набережна Всеволода Змієнка, буд. 7, Переяслав, 17968",+380 (16) 844-48-00,alevtyn96@example.net
Шморгун,Богодар,Григорович,Чоловік,1982-04-09,Промисловець,місто Щолкіне,"шосе Кредитний, буд. 02, Мукачево, 71892",+380 22 355-41-77,givanenko@example.org
Охримович,Нестор,Романович,Чоловік,1988-06-13,Ювелір,хутір Долина,"площа Історія Футболу, буд. 865, Златопіль, 70041",+380 71 997-56-41,davyd56@example.org
Матяш,Орест,Андрійович,Чоловік,1951-02-14,Музичний редактор,село Вінниця,"сквер Цегляна, буд. 67, Золочів, 39193",024 040 66 39,ivanchenkoorest@example.net
Ісаєнко,Зорян,Павлович,Чоловік,1942-03-31,Науковець,місто Ковель,"парк Індійська, буд. 6 кв. 325, Жмеринка, 79597",812 84 63,onishchukmaryna@example.org
Воблий,Гліб,Вікторович,Чоловік,1942-05-16,Гірник,хутір Дружківка,"площа Нафтовиків, буд. 36, Горохів, 88981",+380 (39) 516-87-06,levkoromanchuk@example.net
Дробаха,Дан,Степанович,Чоловік,1994-02-04,Живописець,селище Щолкіне,"парк Балківська, буд. 39, Радомишль, 16654",+380 99 410 48 23,cbatiuk@example.com
Мірошниченко,Василь,Юрійович,Чоловік,1949-02-16,Агроном,місто Стебник,"парк Лінія 50-та, буд. 18, Пустомити, 64090",+380 70 224-43-65,gprytula@example.net
Запорожець,Кирило,Богданович,Чоловік,2004-04-15,Дипломат,село Гребінка,"площа Слобідський узвіз, буд. 82, Ясинувата, 06894",+380 34 769 26 18,isaievychiaroslava@example.net
Павличенко,Федір,Степанович,Чоловік,1947-02-27,Мірошник,селище Бахчисарай,"проспект Рельєфна, буд. 7, Мирноград, 73276",938-99-38,pylypkozak@example.net
Саченко,Віталій,Дмитрович,Чоловік,1979-07-28,Кур'єр,селище Рені,"шосе Дачний 1-й, буд. 0 кв. 941, Київ, 08692",+380 00 899-83-78,wtereshchenko@example.org
Ісаєнко,Демʼян,Григорович,Чоловік,1994-07-19,Гицель,хутір Сокаль,"площа Об'їзна дорога, буд. 8 кв. 236, Мукачево, 03137",+380 54 531-16-00,mariia32@example.net
Вдовенко,Борис,Павлович,Чоловік,1960-05-30,Публіцист,хутір Володимир-Волинський,"провулок Студентський 1-й, буд. 2 кв. 16, Кропивницький, 95987",038 608-91-89,vadymshcherbak@example.com
Дейнеко,Макар,Степанович,Чоловік,1988-10-29,Медик,село Погребище,"площа Давида Ойстраха, буд. 661, Бершадь, 48991",129 57 75,mykhailomoskal@example.com
Яременко,Пантелеймон,Олегович,Чоловік,1971-01-26,Мовознавець,хутір Чоп,"узвіз Аеродромний 3-й, буд. 98 кв. 948, Миколаїв, 94296",+380 (17) 963-25-94,zasukhaihnat@example.com
Яковенко,Макар,Юрійович,Чоловік,1949-09-03,Фермер,село Каховка,"сквер Лінія 42-га, буд. 7, Любомль, 52615",+380 06 381-15-40,stefan28@example.org
Ящук,Марко,Олексійович,Чоловік,1997-07-26,Бізнесмен,хутір Чортків,"сквер Яші Гордієнка, буд. 325, Острог, 77665",+380 40 646-31-16,cherednykiefrem@example.com
Лупій,Азар,Вікторович,Чоловік,1997-10-24,Будник,хутір Сніжне,"сквер Листяний, буд. 6 кв. 72, Звенигородка, 69574",073 638-90-17,iarema27@example.com
Шамрай,Герман,Павлович,Чоловік,1957-10-19,Графік,селище Перемишляни,"сквер Чорноморського козацтва, буд. 562, Овруч, 76097",+380 73 070 94 69,havryshkevychmaksym@example.net
Базилевич,Антон,Степанович,Чоловік,1966-12-23,Біолог,хутір Макіївка,"проспект Давида Бурлюка, буд. 2, Соснівка, 84693",+380 22 401-82-60,panaskhmara@example.com
Гуцуляк,Андрій,Дмитрович,Чоловік,1994-01-18,Провізор,село Любомль,"шосе Кустанайський 2-й, буд. 48, Боярка, 37040",083 983-44-22,vladyslav05@example.org
Зубко,Гліб,Олексійович,Чоловік,1971-10-09,Доцент,село Помічна,"сквер Ольвійська, буд. 2 кв. 58, Нова Одеса, 33931",+380 36 902 14 72,petrykzorian@example.net
Шведченко,Андрій,Юрійович,Чоловік,1961-02-11,Режисер,селище Заліщики,"шосе Радіо, буд. 265 кв. 72, Сватове, 36194",+380 96 057 36 25,geretaorkhyp@example.net
Верес,Василь,Григорович,Чоловік,1958-03-04,Стропальник,хутір Енергодар,"площа Отонівський, буд. 07 кв. 882, Сніжне, 44432",+380 54 440 81 77,ieva08@example.org
Фурс,Ярема,Васильович,Чоловік,1967-04-30,Фармацевт,місто Луцьк,"узвіз Лінія 52-га, буд. 069 кв. 44, Косів, 36748",085 769 23 11,wvyshniak@example.com
Філіпенко,Ілля,Степанович,Чоловік,1943-05-08,Науковець,село Амвросіївка,"набережна Пересипська 9-та, буд. 961 кв. 4, Київ, 40970",+380 13 849-16-56,liudmyla67@example.com
Копитко,Лукʼян,Михайлович,Чоловік,1988-08-23,Актор,хутір Нововолинськ,"проспект Ольвійська, буд. 2, Ізюм, 24124",+380 09 991 87 12,nromanets@example.net
Бевз,Ярослав,Павлович,Чоловік,2000-02-18,Будник,хутір Вовчанськ,"площа Травневий 3-й, буд. 5 кв. 92, Рожище, 13635",964 35 29,emiliia75@example.org
Козаченко,Леон,Вікторович,Чоловік,1974-01-29,Астронавт,село Судак,"набережна Валерія Самофалова, буд. 16 кв. 4, Нова Одеса, 59007",008 017-29-20,masliakvolodymyra@example.org
Сагаль,Дан,Олегович,Чоловік,2004-08-06,Пілот,село Єнакієве,"площа Чорноморський 13-й, буд. 2 кв. 227, Донецьк, 10099",+380 94 206-40-53,xvyshniak@example.org
Іваненко,Пилип,Дмитрович,Чоловік,1982-10-31,Медик,селище Енергодар,"вулиця Менделе Сфоріма, буд. 8 кв. 53, Вилкове, 41710",348 61 49,terezadatsiuk@example.org
Філіпенко,Антон,Михайлович,Чоловік,1973-04-11,Акушер,селище Козятин,"площа Василя Кандинського, буд. 1 кв. 3, Арциз, 33140",039 944 61 62,khudobiakoryna@example.com
Іщенко,Дмитро,Юрійович,Чоловік,1991-05-22,Краєзнавець,місто Багачеве,"узвіз Матроський узвіз, буд. 08, Болехів, 26961",+380 (76) 094-34-56,danyliukvalentyn@example.org
Ільченко,Йосип,Юрійович,Чоловік,1993-05-12,Швачка,село Куп'янськ,"площа Тепличний 1-й, буд. 14, Буринь, 15827",068 907-12-63,frak@example.com
Александренко,Прохір,Олександрович,Чоловік,1978-04-05,Акушер,селище Полтава,"шосе Петра Лещенка, буд. 35 кв. 699, Гнівань, 02517",+380 (87) 508-10-61,kalchenkoartem@example.com
Вітер,Веніямин,Сергійович,Чоловік,1986-02-21,Промисловець,хутір Дружківка,"проспект Поштовий, буд. 9, Батурин, 48344",106 78 02,hermanhrytsenko@example.net
Ващук,Леонід,Романович,Чоловік,1977-06-15,Адвокат,селище Багачеве,"шосе Кар’єрна, буд. 91, Енергодар, 82173",+380 (12) 174-30-75,chuikovarfolomii@example.org
Свистун,Зорян,Олександрович,Чоловік,1986-03-06,Астронавт,село Верхівцеве,"узвіз Прохоровський, буд. 1, Дубно, 94271",129-54-40,odarka47@example.net
Ребрик,Арсен,Михайлович,Чоловік,2008-10-28,Режисер,хутір Почаїв,"проспект Селищна, буд. 1 кв. 5, Кілія, 14638",+380 (82) 838-53-54,andrii06@example.org
Венгринович,Гаврило,Павлович,Чоловік,1940-06-18,Ріелтор,село Долинська,"провулок Радіо, буд. 9, Кремінна, 39052",606 63 62,petrenkovalentyna@example.org
Сімашкевич,Нестор,Олегович,Чоловік,2000-01-12,Редактор,село Берегове,"узвіз Раїси Сергієнко, буд. 9, Маріуполь, 17843",+380 95 272 91 70,alina65@example.com
Цушко,Арсен,Олегович,Чоловік,1987-07-04,Геофізик,хутір Нове Давидково,"сквер Одеса-Головна, буд. 8, Кременець, 85203",+380 86 973 93 09,cgalagan@example.org
Савенко,Василь,Степанович,Чоловік,1966-07-18,Лікар,місто Верхньодніпровськ,"вулиця Поліська, буд. 786, Мена, 48650",+380 78 225-86-93,panteleimonsmyk@example.org
Чайка,Леон,Іванович,Чоловік,1949-10-01,Ріелтор,хутір Іршава,"площа Рекордний, буд. 7, Яворів, 59842",+380 97 787-95-46,illia19@example.com
Петлюра,Єфрем,Олегович,Чоловік,1995-08-29,Парфюмер,село Сарни,"сквер Наявний 7-й, буд. 959, Хрустальний, 72736",009 126-11-22,kolodubsofiia@example.net
Оберемко,Орхип,Богданович,Чоловік,1966-04-27,Складальник,село Новоукраїнка,"сквер Обривиста, буд. 378, Петрово-Красносілля, 11013",850 62 42,ostapmasliak@example.org
Кабаненко,Климент,Макарович,Чоловік,2002-03-21,Державний службовець,село Славута,"провулок Манежний, буд. 2 кв. 45, Іршава, 36399",479-39-03,aaron20@example.com
Медведенко,Олександр,Іванович,Чоловік,2000-11-11,Фізик,хутір Тлумач,"парк Каберне, буд. 1, Суми, 53085",023 867-59-63,iprytula@example.net
Шморгун,Пилип,Олександрович,Чоловік,1996-07-11,Кінорежисер,хутір Тернопіль,"вулиця Степана Олійника узвіз, буд. 8, Апостолове, 91551",+380 (27) 450-19-80,eduardvasylevych@example.net
Шеремета,Давид,Вікторович,Чоловік,1967-06-10,Науковець,місто Кам'янець-Подільський,"парк Золотий берег, буд. 3 кв. 007, Костянтинівка, 58926",+380 45 468-75-83,rlysenko@example.org
Чайка,Зиновій,Романович,Чоловік,1987-10-19,Слідчий,село Алмазна,"провулок Адміральський, буд. 227 кв. 866, Радивилів, 69178",625 09 59,valentynkozachenko@example.org
Талан,Пилип,Сергійович,Чоловік,1977-02-25,Ювелір,хутір Городня,"проспект Дністровська, буд. 5 кв. 71, Черкаси, 68478",030 940 03 57,bkybkalo@example.net
Семенченко,Гордій,Федорович,Чоловік,1972-03-16,Диригент,хутір Шумськ,"набережна Херсонський, буд. 2 кв. 403, Антрацит, 73254",773 70 63,zlatoslava56@example.net
Онищенко,Франц,Павлович,Чоловік,1986-06-11,Будник,хутір Керч,"набережна Прорізна, буд. 949 кв. 1, Гуляйполе, 18177",172-89-02,zfareniuk@example.net
Устенко,Макар,Федорович,Чоловік,2002-10-05,Кіноактор,місто Великі Мости,"сквер Івана Франка, буд. 243 кв. 69, Новодружеськ, 28550",+380 48 465-97-23,vchumak@example.org
Василенко,Тимофій,Дмитрович,Чоловік,1949-08-24,Музикознавець,село Угнів,"вулиця Лінія 28-ма, буд. 718 кв. 5, Суходільськ, 16334",+380 (50) 580-92-60,vitalii36@example.com
Лазаренко,Леон,Володимирович,Чоловік,1948-03-09,Мистецтвознавець,хутір Залізне,"проспект Олександра Кошиця, буд. 765 кв. 434, Білогірськ, 73461",538 24 22,danylobaran@example.net
Носаченко,Борислав,Богданович,Чоловік,1962-03-10,Кур'єр,село Чорнобиль,"провулок Літературна, буд. 310 кв. 7, Южне, 44751",698-89-44,skoryklevko@example.org
Бабенко,Едуард,Юрійович,Чоловік,1962-03-07,Гірничий інженер,хутір Борислав,"вулиця Амундсена, 1-й, буд. 0, Білогірськ, 26243",315 53 06,irenaiatsenko@example.org
Чаленко,Олександр,Григорович,Чоловік,1960-04-03,Публіцист,селище Скадовськ,"площа Озерна, буд. 05 кв. 50, Фастів, 61919",+380 10 061-24-25,ruslan88@example.com
Піддубний,Геннадій,Андрійович,Чоловік,1994-12-23,Гірничий інженер,місто Олешки,"площа Миколи Куліша, буд. 6, Вишгород, 96274",673-91-56,makohonandrii@example.org
Хорішко,Святослав,Романович,Чоловік,1944-06-02,Круп'є,село Вижниця,"проспект Сашка Хорошенка, буд. 87, Попасна, 18244",091 137 41 56,mykolaistus@example.net
Пушкар,Ілля,Юрійович,Чоловік,1952-05-23,Науковець,хутір Самар,"площа Олександра Станкова, буд. 81, Новомиргород, 41432",+380 45 336-23-03,marusiasalii@example.com
Кальченко,Франц,Володимирович,Чоловік,1960-10-06,Мистецтвознавець,селище Саки,"вулиця Сливовий, буд. 38, Малин, 12851",+380 09 862-27-72,albinanehoda@example.org
Данильчук,Панас,Володимирович,Чоловік,2005-11-09,Хореограф,селище Дунаївці,"узвіз Верстатобудівна, буд. 04 кв. 9, Суходільськ, 53097",632 16 42,azarvernyhora@example.net
Башполченко,Ігор,Сергійович,Чоловік,1946-01-26,Льотчик,місто Ковель,"набережна Бардаха, буд. 14 кв. 2, Бібрка, 26016",+380 (80) 481-65-90,albert70@example.net
Ґерета,Спас,Олександрович,Чоловік,1970-12-03,Провізор,місто Нововолинськ,"провулок Дігтярна, буд. 270 кв. 8, Чернівці, 72870",+380 29 331-51-35,sstus@example.org
Остапчук,Герман,Дмитрович,Чоловік,1962-09-05,Кіноактор,місто Гайсин,"узвіз Штабний, буд. 38, Шаргород, 98114",057 986-03-31,lveres@example.com
Чаленко,Святослав,Петрович,Чоловік,1975-10-10,Режисер,хутір Калинівка,"площа Сергія Шелухина, буд. 479, Умань, 90398",125-34-79,edyta10@example.com
Бабенко,Спас,Федорович,Чоловік,1946-05-31,Геолог,місто Кодима,"сквер Мала, буд. 178, Хоростків, 43995",991 06 78,omelianbaranyk@example.org
Вакарчук,Євген,Олегович,Чоловік,1998-05-09,Реставратор,хутір Світловодськ,"парк Ігоря Бедзая, буд. 7 кв. 08, Буськ, 71625",210 91 54,osmyk@example.com
Єщенко,Єлисей,Богданович,Чоловік,2006-03-31,Кур'єр,хутір Українськ,"вулиця Лінія 45-та, буд. 9, Апостолове, 91603",+380 37 013-94-00,kisaievych@example.org
Бандура,Василь,Юрійович,Чоловік,1939-07-07,Лікар,село Старий Самбір,"площа Хотинський, буд. 974, Запоріжжя, 89064",+380 (36) 611-38-49,hlib71@example.net
Вакуленко,Леон,Іванович,Чоловік,1967-01-12,Петрограф,хутір Перещепине,"набережна Іванівська, буд. 866 кв. 08, Здолбунів, 03705",+380 (86) 348-78-44,pavloshcherbak@example.com
Ажажа,Тарас,Федорович,Чоловік,2003-12-29,Математик,хутір Іршава,"узвіз Каховський, буд. 40 кв. 370, Оріхів, 23238",165 04 26,iaroslav13@example.com
Колодуб,Віктор,Іванович,Чоловік,1963-02-24,Стропальник,селище Приморськ,"сквер Аеропортівський 2-й, буд. 9, Кропивницький, 24843",+380 (92) 448-40-70,danyliukpavlo@example.net
Корсун,Руслан,Федорович,Чоловік,2007-06-09,Державний службовець,селище Докучаєвськ,"провулок Східний, буд. 5, Селидове, 67935",329 15 44,prykhodkoanita@example.net
Чалий,Аврелій,Макарович,Чоловік,1955-10-16,Правник,село Бровари,"узвіз Окружна, буд. 3, Барвінкове, 88321",+380 (81) 646-40-45,olena20@example.net
Чабан,Нестор,Григорович,Чоловік,1953-04-29,Електромонтажник,хутір Жовква,"парк Деревообробний 2-й, буд. 533, Олександрівськ, 10456",+380 47 571 34 57,frantsfranko@example.net
Шелест,Устим,Юрійович,Чоловік,1958-09-08,Маркетолог,місто Богуслав,"проспект Цесевича, буд. 6, Новомиргород, 85373",+380 95 248 81 90,boryslav34@example.net
Якименко,Альберт,Богданович,Чоловік,1946-10-03,Швачка,місто Теребовля,"набережна Волинський, буд. 9 кв. 0, Вишгород, 03339",+380 56 548 89 20,vsomko@example.com
Гузенко,Варфоломій,Андрійович,Чоловік,1964-12-26,Кінорежисер,хутір Погребище,"вулиця Пересипська 2-га, буд. 18 кв. 59, Ізмаїл, 78996",497-07-23,milena65@example.org
Бабариченко,Гліб,Романович,Чоловік,1944-08-18,Дипломат,місто Херсон,"шосе 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 0 кв. 281, Тетіїв, 53073",046 533-36-05,fvasylashko@example.net
Акименко,Георгій,Іванович,Чоловік,1989-08-09,Гицель,селище Гуляйполе,"набережна Світла, буд. 84, Бердянськ, 22097",+380 44 374-46-74,ihorvertyporokh@example.net
Дергач,Руслан,Олегович,Чоловік,1990-04-03,Головний меркшейдер,хутір Володимир-Волинський,"узвіз Добровольців, буд. 20, Городенка, 45748",499 33 17,artem58@example.org
Ейбоженко,Ростислав,Олексійович,Чоловік,1997-08-16,Графік,селище Кипуче,"шосе Ізмаїльська, буд. 14 кв. 984, Алупка, 51604",+380 17 934-60-45,opanasenkostanislav@example.com
Бабко,Гліб,Степанович,Чоловік,1945-02-25,Адвокат,хутір Монастириська,"шосе Пересипський узвіз, буд. 69, Інкерман, 30402",+380 (89) 545-19-11,volodymyrashchyrytsia@example.org
Устенко,Стефан,Романович,Чоловік,1980-02-20,Епідеміолог,село Білопілля,"шосе Назарівська, буд. 0, Бережани, 06916",716-11-77,marko61@example.com
Чалий,Азар,Вікторович,Чоловік,2006-06-18,Реабілітолог,село Чуднів,"узвіз Почаївська, буд. 860, Сніжне, 73934",+380 09 827-95-79,zarubaklavdiia@example.net
Чубай,Опанас,Вікторович,Чоловік,2007-02-06,Адвокат,село Мелітополь,"сквер Станційна 1-ша, буд. 4 кв. 69, Оріхів, 14059",097 230-29-40,bohodar17@example.net
Дубас,Давид,Вікторович,Чоловік,1956-04-23,Стоматолог,селище Нововолинськ,"вулиця Моторний 2-й, буд. 03 кв. 57, Конотоп, 73785",+380 91 882 34 62,volodymyraavramenko@example.com
Хмара,Варфоломій,Павлович,Чоловік,1983-02-25,Кіноактор,місто Кілія,"площа Лінія 29-та, буд. 1 кв. 6, Родинське, 44886",+380 (45) 183-25-87,roman31@example.net
Москаль,Єлисей,Олегович,Чоловік,1963-03-16,Гицель,селище Лозова,"набережна Золотий берег, буд. 455, Чорнобиль, 52909",017 980 65 24,valerii87@example.net
Тимчук,Степан,Олексійович,Чоловік,2004-09-20,Єгер,село Бучач,"вулиця Ігоря Бедзая, буд. 5 кв. 4, Нова Каховка, 70152",+380 (39) 335-11-36,demianiukieva@example.net
Удовенко,Ігор,Петрович,Чоловік,2005-04-15,Складальник,хутір Токмак,"проспект Скрипковий, буд. 41 кв. 0, Суми, 34669",878 10 19,ievhentsisyk@example.com
Негода,Миколай,Григорович,Чоловік,1956-04-30,Драматург,місто Бар,"провулок тупик Хвиля, буд. 2 кв. 6, Чигирин, 03848",089 943 87 34,baidakihnat@example.com
Данилюк,Іван,Олегович,Чоловік,1970-06-12,Мінералог,село Краматорськ,"сквер Довга, буд. 2, Зборів, 03161",061 411 34 42,solomiia30@example.org
Івасюк,Аврелій,Васильович,Чоловік,1983-03-03,Модель,місто Жовті Води,"узвіз Нафтовиків 1-й, буд. 7, Каховка, 61831",+380 03 848-42-61,zlatoslava54@example.net
Шиян,Олександр,Олексійович,Чоловік,1957-09-22,Бібліограф,село Борзна,"вулиця Каштанова, буд. 436 кв. 36, Середина-Буда, 42923",+380 02 481-23-67,petrodemianiuk@example.org
Микитюк,Андрій,Вікторович,Чоловік,1978-09-02,Бібліограф,селище Кролевець,"парк Сашка Хорошенка, буд. 98, Тульчин, 99018",053 116 40 90,mbevzenko@example.org
Базавлученко,Леонід,Олексійович,Чоловік,1973-06-17,Соціолог,хутір Буськ,"проспект Листяний, буд. 2 кв. 90, Охтирка, 55697",+380 88 684 97 27,bsirobaba@example.org
Чумаченко,Артем,Іванович,Чоловік,1977-11-09,Астронавт,селище Сніжне,"проспект Чигиринська, буд. 3, Березань, 95036",635-58-86,valentyna09@example.com
Філіпенко,Ростислав,Степанович,Чоловік,1957-01-08,Фольклорист,хутір Бережани,"сквер Аеродромний 3-й, буд. 6 кв. 4, Інкерман, 29635",+380 (21) 401-73-01,mykhailyna43@example.org
Давимука,Леонід,Юрійович,Чоловік,1985-12-03,Клоун,місто Носівка,"узвіз Уральський, буд. 1 кв. 228, Березань, 95312",+380 31 675-23-06,pustovithanna@example.net
Бабій,Кирило,Андрійович,Чоловік,1993-10-27,Конструктор,село Боярка,"вулиця Місячний, буд. 728 кв. 047, Славута, 01796",+380 79 430 35 42,hannamakohon@example.net
Доценко,Мартин,Олександрович,Чоловік,1970-07-26,Ювелір,хутір Кагарлик,"вулиця Андреєвського, буд. 864 кв. 19, Антрацит, 50924",024 993 65 00,iustym20@example.net
Товстоліс,Віктор,Олегович,Чоловік,1959-04-27,Епідеміолог,хутір Костопіль,"проспект Академіка Богатського, буд. 299 кв. 359, Ніжин, 27615",261-06-49,smykamvrosii@example.org
Давиденко,Антон,Олегович,Чоловік,1988-07-12,Модельєр,село Красилів,"шосе Відважних, буд. 1 кв. 6, Винники, 95524",+380 16 244-98-63,havryloiaremchuk@example.org
Дубина,Семен,Богданович,Чоловік,1956-05-22,Живописець,село Антрацит,"площа Миколи Міхновського, буд. 71 кв. 356, Рубіжне, 70621",+380 45 608 21 49,leibozhenko@example.net
Онуфрієнко,Федір,Васильович,Чоловік,1940-03-03,Співак,хутір Южне,"узвіз Балтський 8-й, буд. 824 кв. 51, Хоростків, 75306",+380 24 946-40-17,pelekhtaras@example.org
Цибуленко,Прохір,Павлович,Чоловік,1966-01-08,Стиліст,хутір Боярка,"узвіз Леопольда Ященка, буд. 90, Світловодськ, 76727",+380 47 345-83-09,hanna64@example.net
Червоненко,Ярослав,Олександрович,Чоловік,1959-03-20,Бухгалтер,хутір Роздільна,"узвіз Зої Пасічної, буд. 54 кв. 929, Ніжин, 88004",+380 56 943-99-49,kchumachenko@example.net
Мазур,Микита,Володимирович,Чоловік,1984-02-17,Фрілансер,хутір Глиняни,"сквер Новиков міст, буд. 0, Гадяч, 20784",+380 28 308-25-78,prak@example.org
Вакуленко,Пилип,Андрійович,Чоловік,1960-11-14,Науковець,село Херсон,"парк Бузковий 2-й, буд. 322 кв. 444, Самбір, 78793",095 050-06-57,hryhorii09@example.org
Овчаренко,Симон,Степанович,Чоловік,1944-09-12,Архітектор,місто Сокологірськ,"площа Дорбуду, буд. 9, Приморськ, 19102",595-14-58,lysenkopavlo@example.org
Щорс,Руслан,Макарович,Чоловік,1974-08-05,Живописець,селище Армянськ,"площа Колонічна, буд. 222 кв. 99, Копичинці, 20530",+380 (96) 175-92-78,arsen98@example.org
Барабаш,Остап,Андрійович,Чоловік,1979-12-24,Патологоанатом,хутір Кременець,"провулок Геранієва, буд. 9, Липовець, 09138",261 54 18,veresiukhym@example.net
Забашта,Гліб,Степанович,Чоловік,1993-07-12,Кухар,місто Сніжне,"набережна Дворникова, буд. 52 кв. 87, Ржищів, 79733",005 01 33,panteleimonbezditko@example.org
